Code,Name,Population,Households,Area,Male,Female,Black,Coloured,Indian or Asian,White,Other race,Afrikaans,English,IsiNdebele,IsiXhosa,IsiZulu,Sepedi,Sesotho,Setswana,Sign language,SiSwati,Tshivenda,Xitsonga,Other language,Language not applicable
160001,Kliprand,205,38,0.9599364598,84,121,180,19,0,6,0,199,2,0,0,0,0,0,0,4,0,0,0,0,0
160002,Matzikama NU,23881,7223,12891.205381226,12406,11475,1215,18520,132,3922,92,22501,360,38,289,44,25,92,98,167,10,19,6,94,136
160003,Rietpoort,970,235,2.586126104,453,518,3,961,5,1,0,939,12,2,0,1,0,7,7,2,0,0,0,0,0
160004,Bitterfontein,986,231,39.9040186391,486,500,35,900,4,46,2,951,5,1,13,1,0,1,2,1,0,0,0,1,9
160005,Nuwerus,650,193,0.7489569399,323,327,50,529,5,64,3,534,13,0,0,1,2,0,0,0,0,4,0,0,96
160006,Koekenaap,1551,429,1.5931333299,759,791,193,1300,5,48,5,1379,34,1,81,7,2,1,13,1,0,1,6,18,6
160007,Lutzville,5232,1382,2.3313659014,2637,2595,525,3949,28,703,28,4680,94,2,209,12,0,17,45,10,2,5,3,39,114
160008,Ebenheaser,1305,404,0.6771673881,634,672,4,1294,5,2,0,1272,26,0,0,1,0,0,5,0,0,0,1,0,0
160009,Vanrhynsdorp,6272,1820,5.9911499218,3029,3244,435,4510,26,1237,65,5600,96,2,71,11,8,10,45,9,2,4,0,16,398
160010,Vredendal,18170,4793,23.0825732561,8909,9261,2228,12312,122,2860,648,14976,401,51,1297,34,17,103,121,19,18,9,9,242,872
160011,Strandfontein,431,92,4.1762166028,221,209,218,64,4,143,2,129,6,0,42,2,1,5,0,0,0,0,0,1,244
160012,Klawer,6234,1680,6.4114287081,3062,3172,587,4691,61,849,45,5557,79,5,288,9,2,49,4,195,1,2,1,40,2
160013,Doringbaai,1260,315,1.7878983446,621,639,34,1137,1,87,2,1196,33,2,4,2,0,0,4,0,0,0,0,0,20
161001,Lamberts Bay,6120,1710,45.7289768485,3007,3114,549,4561,14,973,23,5298,102,8,338,6,6,13,32,9,0,1,0,17,289
161002,Cederberg NU,24713,6398,7935.4912535827,12752,11961,2357,19850,78,2388,41,22072,396,37,808,38,6,335,200,56,4,12,0,77,672
161003,Graafwater,2261,604,1.8798121333,1092,1169,53,1878,4,322,3,2201,26,0,13,0,5,2,7,4,0,1,0,1,0
161004,Clanwilliam,7674,2363,15.2652551149,3681,3993,1738,5257,36,588,55,5770,172,15,578,27,6,686,55,39,0,10,9,60,246
161005,Leipoldtville,298,74,0.6477854595,148,150,23,237,5,33,0,286,5,0,1,0,0,0,2,0,0,1,0,2,0
161006,Elands Bay,1525,446,3.7633841805,779,746,467,917,21,115,5,1138,61,10,261,10,5,9,7,14,0,1,1,7,0
161007,Citrusdal,7177,1919,4.6964378877,3536,3641,1121,4951,13,1044,49,5726,124,15,386,8,9,154,55,10,2,2,1,51,634
162001,Redelinghuys,574,139,2.1225220971,296,278,133,333,3,100,4,436,8,0,6,0,1,0,4,0,0,0,0,0,119
162002,Bergrivier NU,24497,5796,4250.7761941629,11898,12598,3865,17564,61,2949,57,20253,366,13,809,36,12,148,276,42,44,12,12,244,2229
162003,Eendekuil,1530,379,0.8525742776,750,780,34,1366,17,99,14,1482,11,0,5,0,1,2,11,2,1,0,0,14,1
162004,Dwarskersbos,670,211,1.5323779956,323,347,200,65,18,385,1,380,18,1,0,0,0,0,0,2,0,0,1,0,267
162005,Aurora,578,199,1.6256943609,268,310,3,390,2,182,0,504,35,1,1,0,0,0,0,0,0,0,1,4,32
162006,Velddrif,11017,3622,8.8713304319,5349,5668,1346,6294,53,3260,64,9000,621,13,935,27,5,29,53,35,3,4,2,51,241
162007,Goedverwacht,1979,539,2.984752277,965,1014,69,1869,6,33,2,1842,15,1,9,1,0,1,12,28,0,1,1,0,66
162008,Beaverlac,59,15,60.9480059573,36,23,1,47,0,8,3,47,0,0,0,1,0,0,0,0,0,0,0,0,11
162009,Piketberg,12075,2920,13.269484352,5800,6275,976,9220,63,1732,83,10532,207,24,216,25,9,132,90,30,12,5,1,82,712
162010,De Hoek,330,112,29.6226358481,195,135,50,161,0,118,1,266,12,1,26,4,1,0,6,0,2,2,4,0,6
162011,Wittewater,848,190,0.4776589984,421,428,16,831,1,0,0,826,14,0,0,3,0,1,2,1,0,0,0,0,0
162012,Porterville,7057,1949,7.9802054588,3396,3661,112,5394,27,1485,40,6540,132,3,19,14,4,37,33,6,1,2,1,21,244
162013,De Lust,684,203,25.9631241382,364,320,195,381,4,104,0,468,36,3,152,4,2,13,5,0,0,1,0,0,0
163001,St Helena Bay,11529,2916,26.9191751223,5706,5823,3419,6833,32,1189,55,7891,404,28,2946,13,13,41,37,27,4,6,1,48,71
163002,Saldanha Bay NU,2962,902,1887.8610497335,1522,1439,145,1809,15,984,8,2685,141,8,42,10,0,17,23,4,0,0,4,12,17
163003,Paternoster,1971,511,2.4938907425,971,1000,316,1410,5,229,12,1611,112,1,178,9,2,8,8,20,0,0,0,1,20
163004,Vredenburg,38382,11557,13.7458528398,19354,19028,11026,21397,248,5302,408,26088,1892,165,7334,187,37,855,350,79,33,111,222,632,398
163005,Swartriet,82,25,2.2660652855,41,41,0,40,0,39,3,74,5,0,0,0,0,0,0,2,0,0,0,0,0
