prefix,example_code,count,mdb_code,municipality
160,160001,13,WC011,Matzikama
161,161001,7,WC012,Cederberg
162,162001,13,WC013,Bergrivier
163,163001,17,WC014,Saldanha Bay
164,164001,22,WC015,Swartland
165,165001,11,WC022,Witzenberg
166,166001,11,WC023,Drakenstein
167,167001,29,WC024,Stellenbosch
168,168001,9,WC025,Breede Valley
169,169001,8,WC026,Langeberg
170,170001,7,WC034,Swellendam
171,171001,12,WC031,Theewaterskloof
172,172001,26,WC032,Overstrand
173,173001,8,WC033,Cape Agulhas
174,174001,6,WC041,Kannaland
175,175001,11,WC042,Hessequa
176,176001,23,WC043,Mossel Bay
177,177001,10,WC044,George
178,178001,8,WC045,Oudtshoorn
179,179001,11,WC047,Bitou
180,180001,11,WC048,Knysna
181,181001,3,WC051,Laingsburg
182,182001,5,WC052,Prince Albert
183,183001,9,WC053,Beaufort West
199,199001,58,CPT,City of Cape Town
260,260001,183,BUF,Buffalo City
261,261001,7,EC101,Camdeboo
262,262001,6,EC102,Blue Crane Route
263,263001,6,EC103,Ikwezi
264,264001,7,EC104,Makana
265,265001,14,EC105,Ndlambe
266,266001,9,EC106,Sundays River Valley
267,267001,5,EC107,Baviaans
268,268001,13,EC108,Kouga
269,269001,15,EC109,Kou-Kamma
270,270001,653,EC121,Mbhashe
271,271001,563,EC122,Mnquma
272,272001,40,EC123,Great Kei
273,273001,129,EC124,Amahlathi
274,274001,137,EC126,Ngqushwa
276,276001,181,EC127,Nkonkobe
277,277001,6,EC128,Nxuba
278,278001,3,EC131,Inxuba Yethemba
279,279001,16,EC132,Tsolwana
280,280001,4,EC133,Inkwanca
281,281001,98,EC134,Lukanji
282,282001,364,EC135,Intsika Yethu
283,283001,208,EC136,Emalahleni
284,284001,440,EC137,Engcobo
285,285001,99,EC138,Sakhisizwe
286,286001,238,EC141,Elundini
287,287001,138,EC142,Senqu
288,288001,4,EC143,Maletswai
289,289001,9,EC144,Gariep
290,290001,331,EC153,Ngquza Hill
291,291001,221,EC154,Port St Johns
292,292001,336,EC155,Nyandeni
293,293001,327,EC156,Mhlontlo
294,294001,481,EC157,King Sabata Dalindyebo
295,295001,288,EC441,Matatiele
296,296001,238,EC442,Umzimvubu
297,297001,389,EC443,Mbizana
298,298001,154,EC444,Ntabankulu
299,299001,12,NMA,Nelson Mandela Bay
360,360001,117,NC451,Joe Morolong
361,361001,33,NC452,Ga-Segonyana
362,362001,5,NC453,Gamagara
363,363001,11,NC061,Richtersveld
364,364001,14,NC062,Nama Khoi
365,365001,17,NC064,Kamiesberg
366,366001,6,NC065,Hantam
367,367001,4,NC066,Karoo Hoogland
368,368001,6,NC067,Khâi-Ma
369,369001,7,NC071,Ubuntu
370,370001,6,NC072,Umsobomvu
371,371001,6,NC073,Emthanjeni
372,372001,4,NC074,Kareeberg
373,373001,5,NC075,Renosterberg
374,374001,4,NC076,Thembelihle
375,375001,6,NC077,Siyathemba
376,376001,7,NC078,Siyancuma
377,377001,8,NC081,Mier
378,378001,21,NC082,Kai !Garib
379,379001,12,NC083,//Khara Hais
380,380001,6,NC084,!Kheis
